net,length_um
net5,150.74
net2,107.2
net1,106.28
net7,100.9
net4,95.495
net8,83.775
net12,76.08
_006_,75.6
net3,70.92
_005_,64.66
net11,60.1
net6,53.94
net9,51.6
clk,49.18
net10,49
_002_,45.385
clknet_1_0__leaf_clk,43.84
net14,42.32
_013_,41.16
clknet_1_1__leaf_clk,40.62
net17,38.14
_000_,35.225
net18,31.72
_007_,30.78
_034_,27.88
clknet_0_clk,26.5
_050_,25.96
_004_,20.865
_025_,20.7
_017_,20.06
b[2],19.76
_020_,19.68
net16,19.08
_048_,19.02
b[3],18.04
_030_,17.54
_035_,17.16
_010_,16.18
_021_,15.58
_036_,14.94
a[0],14.79
_056_,14.08
_029_,13.86
_046_,13.575
_043_,13.17
_026_,12.68
b[0],12.27
a[1],12.07
_041_,11.72
sel[1],11.6
_012_,11.27
_055_,10.94
_054_,10.78
_057_,10.3
sel[2],10.25
result[1],10.23
_016_,10.2
_042_,10.08
_022_,9.92
_045_,9.92
result[2],9.91
net13,9.86
_038_,9.64
_047_,9.58
a[3],9.3
sel[0],9.21
b[1],8.84
_023_,8.76
rst,8.72
result[3],8.53
a[2],8.38
result[4],8.28
result[0],7.58
_049_,6.64
_018_,5.51
_015_,5.46
_001_,4.725
net15,4.54
_033_,4.22
_011_,4.12
_019_,3.88
_027_,3.88
_040_,3.54
_044_,3.54
_060_,3.44
_024_,3.42
_003_,3.345
_014_,3.08
_031_,3.08
_059_,2.86
_008_,2.52
_037_,2.5
_051_,2.5
_032_,2.16
_039_,2.16
_052_,2.16
_028_,1.6
_009_,1.38
_058_,1.38
_053_,0.8
